DG(40:7)	LION:0000670
DG(40:8)	LION:0000671
DG(40:9)	LION:0000672
DG(42:0)	LION:0000673
DG(42:1)	LION:0000674
DG(42:10)	LION:0000675
DG(42:11)	LION:0000676
DG(42:2)	LION:0000677
DG(42:3)	LION:0000678
DG(42:4)	LION:0000679
DG(42:5)	LION:0000680
DG(42:6)	LION:0000681
DG(42:7)	LION:0000682
DG(42:8)	LION:0000683
DG(42:9)	LION:0000684
DG(44:0)	LION:0000685
DG(44:1)	LION:0000686
DG(44:10)	LION:0000687
DG(44:11)	LION:0000688
DG(44:12)	LION:0000689
DG(44:2)	LION:0000690
DG(44:3)	LION:0000691
DG(44:4)	LION:0000692
DG(44:5)	LION:0000693
DG(44:6)	LION:0000694
DG(44:7)	LION:0000695
DG(44:8)	LION:0000696
DG(44:9)	LION:0000697
DG(46:0)	LION:0000698
DG(46:1)	LION:0000699
DG(46:10)	LION:0000700
DG(46:11)	LION:0000701
DG(46:12)	LION:0000702
DG(46:13)	LION:0000703
DG(46:2)	LION:0000704
DG(46:3)	LION:0000705
DG(46:4)	LION:0000706
DG(46:5)	LION:0000707
DG(46:6)	LION:0000708
DG(46:7)	LION:0000709
DG(46:8)	LION:0000710
DG(46:9)	LION:0000711
DG(48:0)	LION:0000712
DG(48:1)	LION:0000713
DG(48:10)	LION:0000714
DG(48:11)	LION:0000715
DG(48:12)	LION:0000716
DG(48:13)	LION:0000717
DG(48:14)	LION:0000718
DG(48:2)	LION:0000719
DG(48:3)	LION:0000720
DG(48:4)	LION:0000721
DG(48:5)	LION:0000722
DG(48:6)	LION:0000723
DG(48:7)	LION:0000724
DG(48:8)	LION:0000725
DG(48:9)	LION:0000726
TG(42:0)	LION:0000727
TG(42:1)	LION:0000729
TG(42:2)	LION:0000730
TG(42:3)	LION:0000731
TG(44:0)	LION:0000732
TG(44:1)	LION:0000733
TG(44:2)	LION:0000734
TG(44:3)	LION:0000735
TG(46:0)	LION:0000736
TG(46:1)	LION:0000737
TG(46:2)	LION:0000738
TG(46:3)	LION:0000739
TG(46:4)	LION:0000740
TG(46:5)	LION:0000741
TG(48:0)	LION:0000742
TG(48:1)	LION:0000743
TG(48:2)	LION:0000744
TG(48:3)	LION:0000745
TG(48:4)	LION:0000746
TG(48:5)	LION:0000747
TG(48:6)	LION:0000748
TG(48:7)	LION:0000749
TG(50:0)	LION:0000750
TG(50:1)	LION:0000751
TG(50:2)	LION:0000752
TG(50:3)	LION:0000753
TG(50:4)	LION:0000754
TG(50:5)	LION:0000755
TG(50:6)	LION:0000756
TG(50:7)	LION:0000757
TG(50:8)	LION:0000758
TG(52:0)	LION:0000759
TG(52:1)	LION:0000760
TG(52:2)	LION:0000761
TG(52:3)	LION:0000762
TG(52:4)	LION:0000763
TG(52:5)	LION:0000764
TG(52:6)	LION:0000765
TG(52:7)	LION:0000766
TG(52:8)	LION:0000767
TG(52:9)	LION:0000768
TG(54:0)	LION:0000769
TG(54:1)	LION:0000770
TG(54:10)	LION:0000771
TG(54:11)	LION:0000772
TG(54:2)	LION:0000773
TG(54:3)	LION:0000774
TG(54:4)	LION:0000775
TG(54:5)	LION:0000776
TG(54:6)	LION:0000777
TG(54:7)	LION:0000778
TG(54:8)	LION:0000779
TG(54:9)	LION:0000780
TG(56:0)	LION:0000781
TG(56:1)	LION:0000782
TG(56:10)	LION:0000783
TG(56:11)	LION:0000784
TG(56:2)	LION:0000785
TG(56:3)	LION:0000786
TG(56:4)	LION:0000787
TG(56:5)	LION:0000788
TG(56:6)	LION:0000789
TG(56:7)	LION:0000790
TG(56:8)	LION:0000791
TG(56:9)	LION:0000792
TG(58:0)	LION:0000793
TG(58:1)	LION:0000794
TG(58:10)	LION:0000795
TG(58:11)	LION:0000796
TG(58:12)	LION:0000797
TG(58:13)	LION:0000798
TG(58:2)	LION:0000799
TG(58:3)	LION:0000800
TG(58:4)	LION:0000801
TG(58:5)	LION:0000802
TG(58:6)	LION:0000803
TG(58:7)	LION:0000804
TG(58:8)	LION:0000805
TG(58:9)	LION:0000806
TG(60:0)	LION:0000807
TG(60:1)	LION:0000808
TG(60:10)	LION:0000809
TG(60:11)	LION:0000810
TG(60:12)	LION:0000811
TG(60:13)	LION:0000812
TG(60:14)	LION:0000813
TG(60:15)	LION:0000814
TG(60:2)	LION:0000815
TG(60:3)	LION:0000816
TG(60:4)	LION:0000817
TG(60:5)	LION:0000818
TG(60:6)	LION:0000819
TG(60:7)	LION:0000820
TG(60:8)	LION:0000821
TG(60:9)	LION:0000822
TG(62:0)	LION:0000823
TG(62:1)	LION:0000824
TG(62:10)	LION:0000825
TG(62:11)	LION:0000826
TG(62:12)	LION:0000827
TG(62:13)	LION:0000828
TG(62:14)	LION:0000829
TG(62:15)	LION:0000830
TG(62:16)	LION:0000831
TG(62:2)	LION:0000832
TG(62:3)	LION:0000833
TG(62:4)	LION:0000834
TG(62:5)	LION:0000835
TG(62:6)	LION:0000836
TG(62:7)	LION:0000837
TG(62:8)	LION:0000838
TG(62:9)	LION:0000839
TG(64:0)	LION:0000840
TG(64:1)	LION:0000841
TG(64:10)	LION:0000842
TG(64:11)	LION:0000843
TG(64:12)	LION:0000844
TG(64:13)	LION:0000845
TG(64:14)	LION:0000846
TG(64:15)	LION:0000847
TG(64:16)	LION:0000848
TG(64:17)	LION:0000849
TG(64:2)	LION:0000850
TG(64:3)	LION:0000851
TG(64:4)	LION:0000852
TG(64:5)	LION:0000853
TG(64:6)	LION:0000854
TG(64:7)	LION:0000855
TG(64:8)	LION:0000856
TG(64:9)	LION:0000857
TG(66:0)	LION:0000858
TG(66:1)	LION:0000859
TG(66:10)	LION:0000860
TG(66:11)	LION:0000861
TG(66:12)	LION:0000862
TG(66:13)	LION:0000863
TG(66:14)	LION:0000864
TG(66:15)	LION:0000865
TG(66:16)	LION:0000866
TG(66:17)	LION:0000867
TG(66:18)	LION:0000868
TG(66:2)	LION:0000869
TG(66:3)	LION:0000870
TG(66:4)	LION:0000871
TG(66:5)	LION:0000872
TG(66:6)	LION:0000873
TG(66:7)	LION:0000874
TG(66:8)	LION:0000875
TG(66:9)	LION:0000876
TG(68:0)	LION:0000877
TG(68:1)	LION:0000878
TG(68:10)	LION:0000879
TG(68:11)	LION:0000880
TG(68:12)	LION:0000881
TG(68:13)	LION:0000882
TG(68:14)	LION:0000883
TG(68:15)	LION:0000884
TG(68:16)	LION:0000885
TG(68:17)	LION:0000886
TG(68:18)	LION:0000887
TG(68:19)	LION:0000888
TG(68:2)	LION:0000889
TG(68:3)	LION:0000890
TG(68:4)	LION:0000891
TG(68:5)	LION:0000892
TG(68:6)	LION:0000893
TG(68:7)	LION:0000894
TG(68:8)	LION:0000895
TG(68:9)	LION:0000896
TG(70:0)	LION:0000897
TG(70:1)	LION:0000898
TG(70:10)	LION:0000899
TG(70:11)	LION:0000900
TG(70:12)	LION:0000901
TG(70:13)	LION:0000902
TG(70:14)	LION:0000903
TG(70:15)	LION:0000904
TG(70:16)	LION:0000905
TG(70:17)	LION:0000906
TG(70:18)	LION:0000907
TG(70:19)	LION:0000908
TG(70:2)	LION:0000909
TG(70:20)	LION:0000910
TG(70:3)	LION:0000911
TG(70:4)	LION:0000912
TG(70:5)	LION:0000913
TG(70:6)	LION:0000914
TG(70:7)	LION:0000915
TG(70:8)	LION:0000916
TG(70:9)	LION:0000917
TG(72:0)	LION:0000918
TG(72:1)	LION:0000919
TG(72:10)	LION:0000920
TG(72:11)	LION:0000921
TG(72:12)	LION:0000922
TG(72:13)	LION:0000923
TG(72:14)	LION:0000924
TG(72:15)	LION:0000925
TG(72:16)	LION:0000926
TG(72:17)	LION:0000927
TG(72:18)	LION:0000928
TG(72:19)	LION:0000929
TG(72:2)	LION:0000930
TG(72:20)	LION:0000931
TG(72:21)	LION:0000932
TG(72:3)	LION:0000933
TG(72:4)	LION:0000934
TG(72:5)	LION:0000935
TG(72:6)	LION:0000936
TG(72:7)	LION:0000937
TG(72:8)	LION:0000938
TG(72:9)	LION:0000939
CL(60:2)	LION:0000952
CL(62:1)	LION:0000953
CL(62:2)	LION:0000954
CL(62:3)	LION:0000955
CL(62:4)	LION:0000956
CL(62:5)	LION:0000957
CL(64:1)	LION:0000958
CL(64:2)	LION:0000959
CL(64:3)	LION:0000960
CL(64:4)	LION:0000961
CL(64:5)	LION:0000962
CL(64:6)	LION:0000963
CL(64:7)	LION:0000964
CL(66:1)	LION:0000965
CL(66:2)	LION:0000966
CL(66:3)	LION:0000967
CL(66:4)	LION:0000968
CL(66:5)	LION:0000969
CL(66:6)	LION:0000970
CL(66:7)	LION:0000971
CL(66:8)	LION:0000972
CL(66:9)	LION:0000973
CL(68:0)	LION:0000974
CL(68:1)	LION:0000975
CL(68:10)	LION:0000976
CL(68:2)	LION:0000977
CL(68:3)	LION:0000978
CL(68:4)	LION:0000979
CL(68:5)	LION:0000980
CL(68:6)	LION:0000981
CL(68:7)	LION:0000982
CL(68:8)	LION:0000983
CL(68:9)	LION:0000984
CL(70:0)	LION:0000985
CL(70:1)	LION:0000986
CL(70:10)	LION:0000987
CL(70:11)	LION:0000988
CL(70:12)	LION:0000989
CL(70:2)	LION:0000990
CL(70:3)	LION:0000991
CL(70:4)	LION:0000992
CL(70:5)	LION:0000993
CL(70:6)	LION:0000994
CL(70:7)	LION:0000995
CL(70:8)	LION:0000996
CL(70:9)	LION:0000997
CL(72:0)	LION:0000998
CL(72:1)	LION:0000999
CL(72:10)	LION:0001000
CL(72:11)	LION:0001001
CL(72:12)	LION:0001002
