,24h_CON,24h_CON,24h_CON,24h_AA,24h_AA,24h_AA
,#1,#2,#3,#4,#5,#6
PC(O-34:3),0.411313626,0.535475249,0.387682184,0.388585979,0.382794545,0.518051831
PC(O-34:2),0.03318179,0.028239598,0.028690827,0.015743367,0.014225961,0.015816453
PC(O-34:2),0.529398849,0.466036238,0.296438318,0.762651214,0.744190624,1.033089277
PC(O-34:1),0.512345333,0.632835755,0.455650393,0.205792033,0.205654315,0.202521055
PC(34:4),0.016718114,0.017060251,0.014134395,0.330722274,0.270327606,0.265898219
PC(34:3),0.037835613,0.04022262,0.031357782,0.06455053,0.049665262,0.052880548
PC(34:2),0.507435111,0.380135413,0.140801581,0.396220841,0.35887764,0.391672554
PC(34:1),2.744716211,2.910634838,2.221776105,2.097779789,1.896570901,2.089372454
PC(O-36:6),0.056715936,0.053547988,0.037489148,0.153662736,0.120651841,0.148203468
PC(O-36:5),0.050548977,0.051793701,0.045536289,0.04869928,0.048948775,0.052142808
PC(O-36:5),0.028820984,0.03072307,0.022715118,0.024651838,0.029532268,0.032313901
PC(O-36:4),0.210166717,0.204318004,0.183961887,0.269603659,0.210577944,0.25059978
PC(O-36:4),0.372595276,0.414516677,0.264853182,0.243647809,0.217629374,0.227098779
PC(O-36:3),0.015115075,0.014075513,0.014671287,0.000100018,0.0000912,0.000537196
PC(O-36:3),1.633145662,1.7446433,1.127812745,0.9926661,0.955429509,1.074559732
PC(O-36:2),0.154619086,0.069204644,0.023652534,0.072664643,0.066937249,0.080106685
PC(O-36:1),0.054019476,0.072703012,0.056296674,0.01949057,0.012477284,0.017842631
PC(36:7),0.000980056,0.000638553,0.000690272,0.026276443,0.023530136,0.027452215
PC(36:6),0.009189721,0.00931454,0.00932054,0.025466808,0.016100732,0.025568174
PC(36:5),0.050387378,0.064094288,0.066717141,0.169788735,0.130630672,0.148249759
PC(36:4),0.323367929,0.280584337,0.31562945,1.587828571,1.257250429,1.461330704
PC(36:3),0.171975351,0.302665082,0.274586463,0.490476061,0.223061543,0.461278373
PC(36:2),1.891794908,1.926018373,1.663000797,0.107253295,0.262153882,0.394493397
PC(O-38:7),0.077023053,0.077663828,0.066175658,0.010901545,0.010271758,0.010190197
PC(O-38:7),0.030316937,0.025769811,0.028507081,0.076827005,0.060705124,0.079535411
PC(O-38:6),0.041581281,0.038692656,0.041162391,0.030982564,0.028557506,0.027115994
PC(O-38:6),0.368691574,0.324172766,0.303093639,0.763167764,0.583506333,0.794487996
PC(O-38:5),0.066755837,0.256964964,0.229429481,0.252291883,0.215309825,0.273718623
PC(O-38:5),0.152184073,0.162772247,0.111685146,0.162429217,0.135332586,0.179288683
PC(O-38:4),0.058921431,0.061012599,0.049040277,0.029334311,0.033235157,0.036429887
PC(O-38:4),0.833642088,1.087245567,0.790111855,0.290717874,0.224805683,0.283800238
PC(O-38:3),0.140023066,0.235424596,0.149085954,0.097049741,0.085657204,0.106644605
PC(O-38:2),0.045302494,0.037981052,0.030515505,0.004641551,0.015843015,0.008040692
PC(38:7),0.028217806,0.026907387,0.02694086,0.05041479,0.041961872,0.049526959
PC(38:6),0.389064663,0.360136653,0.34593642,0.152690218,0.124400227,0.136906983
PC(38:5),0.17483688,0.446657027,0.388637186,0.992092557,0.889471755,0.964158442
PC(38:4),0.242521141,0.230156601,0.182857614,0.445453076,0.498311068,0.422158188
PC(38:4),0.150396122,0.171206599,0.166675387,0.787869535,0.828256884,0.954762185
PC(38:3),0.126830005,0.121232999,0.095444424,0.326278335,0.30119091,0.302929428
PC(38:2),0.282449496,0.293617642,0.283295747,0.000251824,0.000553886,0.000403423
PC(O-40:8),0.057763931,0.046418585,0.051964437,0.001586154,0.000966676,0.001482793
PC(O-40:8),0.148578507,0.132983488,0.130831042,0.070938894,0.062146792,0.071131143
PC(38:1),0.030349991,0.031433115,0.02849119,0.017697381,0.024996117,0.016262421
PC(O-40:7),0.130148546,0.185189662,0.097075832,0.097710469,0.085289626,0.093850836
PC(O-40:7),0.118206495,0.222834225,0.175160675,0.457639267,0.448534448,0.477756869
PC(O-40:6),0.239596577,0.217705059,0.172681454,0.45758424,0.384017199,0.48779011
PC(O-40:6),0.134631763,0.137431213,0.106324727,0.733726268,0.259278037,0.605944614
PC(O-40:5),0.000456393,0.001167398,0.015675313,0.010830089,0.018206871,0.006628022
PC(O-40:5),0.043836375,0.07459527,0.059836166,0.084502357,0.057162702,0.096394794
PC(O-40:4),0.148951609,0.134425412,0.11205649,0.002949612,0.010751811,0.011392593
PC(O-40:3),0.024934829,0.018105836,0.018093051,0.010312264,0.008488664,0.010008253
PC(O-40:3),0.017323134,0.01445028,0.013211289,0.015037972,0.011158316,0.014195546
PC(40:8),0.043150612,0.037363204,0.022597809,0.351515067,0.298759118,0.309471633
PC(40:7),0.453569003,0.464766926,0.416980368,0.189021622,0.140804271,0.15223916
PC(40:6),0.353386618,0.416048794,0.308201982,0.135375481,0.112660292,0.114827094
