PC(P-12:0/16:1)	LION:0018067
PC(P-28:2)	LION:0015298
PC(P-30:0)	LION:0015299
PC(P-14:0/16:0)	LION:0018068
PC(P-30:1)	LION:0015303
PC(P-14:0/16:1)	LION:0018069
PC(P-12:0/18:1)	LION:0018070
PC(P-30:2)	LION:0015306
PC(P-12:0/18:2)	LION:0018071
PC(P-32:0)	LION:0015312
PC(P-16:0/16:0)	LION:0018072
PC(P-32:1)	LION:0015314
PC(P-16:0/16:1)	LION:0018073
PC(P-14:0/18:1)	LION:0018074
PC(P-32:2)	LION:0015315
PC(P-16:1/16:1)	LION:0018075
PC(P-14:0/18:2)	LION:0018076
PC(P-32:3)	LION:0015323
PC(P-14:0/18:3)	LION:0018077
PC(P-32:4)	LION:0015326
PC(P-12:0/20:4)	LION:0018078
PC(P-32:5)	LION:0015328
PC(P-12:0/20:5)	LION:0018079
PC(P-32:6)	LION:0015330
PC(P-34:0)	LION:0015333
PC(P-16:0/18:0)	LION:0018080
PC(P-34:1)	LION:0015342
PC(P-16:0/18:1)	LION:0018081
PC(P-34:2)	LION:0015349
PC(P-16:0/18:2)	LION:0018082
PC(P-16:1/18:1)	LION:0018083
PC(P-34:3)	LION:0015354
PC(P-16:1/18:2)	LION:0018084
PC(P-16:0/18:3)	LION:0018085
PC(P-34:4)	LION:0015356
PC(P-14:0/20:4)	LION:0018086
PC(P-34:5)	LION:0015364
PC(P-14:0/20:5)	LION:0018087
PC(P-12:0/22:5)	LION:0018088
PC(P-34:6)	LION:0015370
PC(P-12:0/22:6)	LION:0018089
PC(P-34:7)	LION:0015371
PC(P-36:0)	LION:0015372
PC(P-18:0/18:0)	LION:0018090
PC(P-16:0/20:0)	LION:0018091
PC(P-36:1)	LION:0015373
PC(P-18:0/18:1)	LION:0018092
PC(P-36:2)	LION:0015374
PC(P-18:1/18:1)	LION:0018093
PC(P-36:3)	LION:0015375
PC(P-18:1/18:2)	LION:0018111
PC(P-16:0/20:3)	LION:0018114
PC(P-36:4)	LION:0015376
PC(P-16:0/20:4)	LION:0018115
PC(P-36:5)	LION:0015377
PC(P-16:0/20:5)	LION:0018120
PC(P-16:1/20:4)	LION:0018121
PC(P-14:0/22:5)	LION:0018132
PC(P-36:6)	LION:0015378
PC(P-16:1/20:5)	LION:0018147
PC(P-14:0/22:6)	LION:0018150
PC(P-36:7)	LION:0015379
PC(P-36:8)	LION:0015380
PC(P-38:0)	LION:0015381
PC(P-18:0/20:0)	LION:0018152
PC(P-16:0/22:0)	LION:0018169
PC(P-38:1)	LION:0015382
PC(P-18:1/20:0)	LION:0018171
PC(P-16:0/22:1)	LION:0018173
PC(P-18:0/20:1)	LION:0018175
PC(P-38:2)	LION:0015383
PC(P-16:0/22:2)	LION:0018176
PC(P-18:1/20:1)	LION:0018177
PC(P-18:2/20:0)	LION:0018178
PC(P-16:1/22:1)	LION:0018179
PC(P-38:3)	LION:0015384
PC(P-16:0/22:3)	LION:0018180
PC(P-18:0/20:3)	LION:0018181
PC(P-16:1/22:2)	LION:0018182
PC(P-18:2/20:1)	LION:0018183
PC(P-38:4)	LION:0015385
PC(P-18:0/20:4)	LION:0018184
PC(P-16:0/22:4)	LION:0018185
PC(P-18:1/20:3)	LION:0018186
PC(P-38:5)	LION:0015386
PC(P-18:1/20:4)	LION:0018187
PC(P-16:0/22:5)	LION:0018188
PC(P-18:0/20:5)	LION:0018189
PC(P-38:6)	LION:0015387
PC(P-16:0/22:6)	LION:0018190
PC(P-18:1/20:5)	LION:0018191
PC(P-18:2/20:4)	LION:0018192
PC(P-16:1/22:5)	LION:0018193
PC(P-38:7)	LION:0015388
PC(P-16:1/22:6)	LION:0018194
PC(P-18:2/20:5)	LION:0018195
PC(P-18:3/20:4)	LION:0018196
PC(P-38:8)	LION:0015389
PC(P-18:3/20:5)	LION:0018197
PC(P-40:0)	LION:0015390
PC(P-18:0/22:0)	LION:0018198
PC(P-16:0/24:0)	LION:0018199
PC(P-20:0/20:0)	LION:0018200
PC(P-40:1)	LION:0015391
PC(P-18:1/22:0)	LION:0018209
PC(P-18:0/22:1)	LION:0018214
PC(P-40:2)	LION:0015392
PC(P-18:1/22:1)	LION:0018230
PC(P-18:0/22:2)	LION:0018243
PC(P-18:2/22:0)	LION:0018245
PC(P-40:3)	LION:0015393
PC(P-18:1/22:2)	LION:0018246
PC(P-18:0/22:3)	LION:0018247
PC(P-18:2/22:1)	LION:0018248
PC(P-40:4)	LION:0015394
PC(P-20:0/20:4)	LION:0018249
PC(P-18:1/22:3)	LION:0018250
PC(P-18:0/22:4)	LION:0018251
PC(P-18:2/22:2)	LION:0018252
PC(P-40:5)	LION:0015395
PC(P-18:0/22:5)	LION:0018253
PC(P-18:1/22:4)	LION:0018254
PC(P-40:6)	LION:0015396
PC(P-18:1/22:5)	LION:0018255
PC(P-18:0/22:6)	LION:0018256
PC(P-40:7)	LION:0015397
PC(P-18:1/22:6)	LION:0018257
PC(P-18:2/22:5)	LION:0018258
PC(P-40:8)	LION:0015398
PC(P-20:4/20:4)	LION:0018281
PC(P-18:2/22:6)	LION:0018282
PC(P-40:9)	LION:0015399
PC(P-20:4/20:5)	LION:0018283
PC(P-40:10)	LION:0015400
PC(P-20:5/20:5)	LION:0018284
PC(P-42:0)	LION:0015401
PC(P-16:0/26:0)	LION:0018285
PC(P-18:0/24:0)	LION:0018286
PC(P-20:0/22:0)	LION:0018287
PC(P-42:1)	LION:0015402
PC(P-18:1/24:0)	LION:0018297
PC(P-20:0/22:1)	LION:0018298
PC(P-16:1/26:0)	LION:0018299
PC(P-42:2)	LION:0015403
PC(P-20:0/22:2)	LION:0018303
PC(P-18:2/24:0)	LION:0018304
PC(P-20:1/22:1)	LION:0018305
PC(P-42:3)	LION:0015404
PC(P-20:0/22:3)	LION:0018306
PC(P-20:1/22:2)	LION:0018307
PC(P-20:3/22:0)	LION:0018308
PC(P-18:3/24:0)	LION:0018309
PC(P-42:4)	LION:0015405
PC(P-20:4/22:0)	LION:0018310
PC(P-20:0/22:4)	LION:0018311
PC(P-42:5)	LION:0015406
PC(P-20:0/22:5)	LION:0018312
PC(P-20:4/22:1)	LION:0018313
PC(P-16:0/26:5)	LION:0018314
PC(P-18:0/24:5)	LION:0018315
PC(P-20:5/22:0)	LION:0018316
PC(P-42:6)	LION:0015407
PC(P-20:0/22:6)	LION:0018317
PC(P-20:4/22:2)	LION:0018318
PC(P-16:0/26:6)	LION:0018319
PC(P-18:1/24:5)	LION:0018320
PC(P-20:1/22:5)	LION:0018321
PC(P-18:0/24:6)	LION:0018322
PC(P-20:5/22:1)	LION:0018323
PC(P-16:1/26:5)	LION:0018324
PC(P-42:7)	LION:0015408
PC(P-20:4/22:3)	LION:0018325
PC(P-18:1/24:6)	LION:0018326
PC(P-20:1/22:6)	LION:0018327
PC(P-20:5/22:2)	LION:0018328
PC(P-16:1/26:6)	LION:0018329
PC(P-18:2/24:5)	LION:0018330
PC(P-42:8)	LION:0015409
PC(P-20:4/22:4)	LION:0018331
PC(P-20:3/22:5)	LION:0018332
PC(P-20:5/22:3)	LION:0018333
PC(P-18:2/24:6)	LION:0018334
PC(P-42:9)	LION:0015410
PC(P-20:4/22:5)	LION:0018335
