,Nuclei,Nuclei,Nuclei,Mitochondria,Mitochondria,Mitochondria,ER,ER,ER,Plasmalemma,Plasmalemma,Plasmalemma,Dense Microsomes,Dense Microsomes,Dense Microsomes,Cytosol,Cytosol,Cytosol,Whole cell homogenate,Whole cell homogenate,Whole cell homogenate
,#1,#2,#3,#7,#8,#9,#13,#14,#15,#19,#20,#21,#25,#26,#27,#31,#32,#33,#37,#38,#39
PC(18:1/24:0),9.97E+00,1.12E+01,1.05E+01,1.12E+01,1.17E+01,1.18E+01,1.52E-05,3.32E+00,4.71E+00,3.66E+00,3.69E+00,2.88E+00,6.49E+00,8.21E+00,7.29E+00,1.17E+01,1.37E+01,9.26E+00,2.42E+00,4.43E+00,5.19E+00
PE(16:0/16:0),2.025073747,2.419045106,1.685321833,3.71524973,4.425390837,4.010245872,1.573075194,2.018969865,1.577887232,1.616085829,1.35217093,1.372769275,1.209722117,1.534315194,1.474363925,0.000377657,0.000250251,1.198322838,1.579271576,1.555884601,1.833149064
PE(16:0/18:2),8.723395,9.222609,8.707496,9.504127,11.190643,9.435873,8.279343,11.892562,13.188311,6.248865,5.970625,6.779108,8.797979,10.83046,14.743639,6.179838,7.735023,8.715075,7.369934,5.625121,8.045488
PE(16:0/18:1),15.57749,16.63094,13.20169,21.60029,23.39862,22.4102,15.73075,18.53027,17.89842,11.8513,11.41443,12.20239,14.29672,14.44061,18.62354,10.29973,11.37503,11.98323,13.68702,11.13056,14.25783
PE(16:0/18:0),3.738597686,3.930948297,2.387539264,5.70247633,6.612652974,5.484600971,1.407488332,1.244570465,1.884044456,1.917755184,1.756066143,1.457508119,1.209722117,1.624569029,0.737181963,0.000377657,0.000250251,0.000299581,2.105695435,2.154301756,2.647881981
PE(16:0/20:4),6.70E+00,6.65E+00,7.02E+00,2.85E+00,8.65E+00,3.24E-05,7.18E+00,8.57E+00,8.95E+00,5.39E+00,5.09E+00,5.76E+00,7.15E+00,6.86E+00,9.31E+00,8.24E+00,9.10E+00,8.17E+00,6.00E+00,4.67E+00,6.01E+00
PE(16:0/20:3),6.386771047,7.257135317,6.600843848,9.504127217,8.647315428,8.846130599,6.899452606,8.573707645,9.655727838,4.740518431,5.092591814,5.253808337,7.808206389,8.393606649,10.86373418,5.836513289,7.280021689,7.625690789,6.211801533,4.907020665,6.110496879
PE(18:0/18:2),29.59723,30.23806,28.0887,28.51238,32.5546,28.30762,27.59781,38.71997,37.68089,19.60851,21.07279,22.0321,34.09217,37.90661,48.11082,32.27249,40.95012,41.9413,25.26835,19.14935,23.42357
PE(18:0/18:1),2.18E+01,2.42E+01,1.97E+01,3.11E+01,3.61E+01,2.95E+01,1.90E+01,2.05E+01,2.00E+01,1.44E+01,1.49E+01,1.59E+01,1.87E+01,1.90E+01,2.10E+01,1.44E+01,1.55E+01,1.69E+01,2.00E+01,1.56E+01,5.60E-05
PE(18:0/18:0),6.542546,7.861897,7.303061,11.23215,12.71664,10.615357,5.519562,7.467423,6.35865,6.248865,5.970625,6.948585,6.378535,7.310561,7.139025,6.317167,7.280022,6.536306,6.001232,5.744805,8.351012
