,FFA_AA,FFA_AA,FFA_AA,FFA_BSA,FFA_BSA,FFA_BSA,FFA_LA,FFA_LA,FFA_LA,FFA_PA,FFA_PA,FFA_PA
,#10,#11,#12,#1,#2,#3,#7,#8,#9,#4,#5,#6
PI(18:0/22:6),0.014021607,0.00196051,0.006146809,0.417249424,0.34375033,0.490943928,0.334783604,0.313170317,0.116218135,1.617851501,1.689408091,1.437150744
PI(18:0/22:5),0.036620615,0.001294543,0.014419165,0.975715292,0.83281333,0.829764367,0.461794235,0.502256864,0.389840495,1.847392785,1.108641484,1.610785684
PI(18:0/22:4),1.13132647,0.958977388,1.074685767,0.50638493,0.497633858,0.511895262,0.528353089,0.538961878,0.580248478,0.689043547,0.718900232,0.608428401
PI(18:0/22:3),0.035753271,0.037738647,0.017143786,0.043306854,0.046237552,0.04105354,0.040849973,0.030023021,0.032572254,0.082514567,0.067538109,0.049826326
PI(40:1),0,0,0,0.000204587,0.000402271,0.000570269,0,0,0,0.012327729,0.012515381,0.011269431
PI(20:4/22:4),0.491963452,0.34524845,0.508673625,0.00251163,0.015991776,0.005493047,0.019185754,0.006878478,0.013185661,0.002051521,0.004263563,0.005218575
PI(20:1/22:5),0.029172059,0.006443595,0.023331961,0.014896957,0.020616192,0.010146211,0.013735839,0.021178559,0.014234041,0.015827918,0.013576559,0.012371838
PI(20:4/22:0),0.096340595,0.094975039,0.104837239,0.002486817,0.000340776,0.000965469,0.004933785,0.010490087,0.018031624,0.010310318,0.004974404,0.002948006
PE(14:0/16:1),0.008294315,0.008034444,0.008911779,0.009499292,0.009378399,0.009085441,0.003924195,0.003630661,0.00377075,0.005267088,0.004586278,0.004398727
PE(O-16:1/16:1),0.014841652,0.014158538,0.012800512,0.019938594,0.020795652,0.02434332,0.01144143,0.012980329,0.010968515,0.04540967,0.045961554,0.052738155
PE(O-16:0/16:1),0.006950256,0.008267764,0.007439872,0.01389197,0.014636557,0.01305883,0.006463325,0.0057068,0.005414438,0.035373263,0.031745493,0.029325993
PE(16:1/16:1),0.012283179,0.012372636,0.013120637,0.019965883,0.0157788,0.016480778,0.038045173,0.035284015,0.03143487,0.028880104,0.029121588,0.033913203
PE(16:0/16:1),0.150902593,0.135969896,0.134530923,0.141548102,0.139122537,0.148480715,0.088612752,0.080901723,0.074649493,0.502669774,0.495186015,0.509138863
PE(16:0/16:0),0.167592278,0.157795696,0.150209138,0.06129825,0.059100427,0.065640246,0.127639752,0.116604671,0.107388729,0.233270042,0.246259457,0.188595085
PE(O-16:1/18:2),0.020717503,0.017703156,0.018000264,0.029529599,0.030344434,0.027951323,0.065691197,0.064870722,0.062055915,0.029300615,0.033208679,0.035246975
PE(O-16:1/18:1),0.234411941,0.225839102,0.222597119,0.32877959,0.353475092,0.34057286,0.20341132,0.181319625,0.178789258,0.242084763,0.259341174,0.293295908
PE(O-16:0/18:1),0.041951701,0.040642367,0.037140409,0.048310845,0.045404578,0.04515623,0.026246488,0.010563842,0.024180659,0.037611255,0.034674061,0.047465006
PE(16:1/18:2),0.016734898,0.015286942,0.016856193,0.020357294,0.018811835,0.019784358,0.044044321,0.042289681,0.038684106,0.013327106,0.012731973,0.014550471
PE(16:1/18:1),0.137377346,0.135017065,0.130187129,0.263636364,0.2536246,0.266065174,0.643712044,0.592559498,0.557354545,0.245605767,0.228132321,0.268870792
PE(16:0/18:1),0.847507049,0.809598306,0.746022575,0.996034675,0.971851176,0.994444649,0.412143206,0.4310834,0.380090977,1.304624847,1.236892762,1.403315143
PE(O-16:1/20:5),0.000398731,0.000307949,0.000367039,1.83E-06,0.000228663,0.001839234,0.001962266,0.000241453,0.002786956,0.000667858,0.000531542,0.000218796
PE(O-16:1/20:4),0.480975313,0.453305207,0.400190417,0.286995226,0.296153975,0.272829171,0.251272199,0.247996957,0.24017476,0.451337171,0.412924996,0.478581864
PE(O-16:1/20:3),0.028251119,0.025841568,0.025873658,0.031257839,0.032709856,0.033537402,0.077530203,0.067699559,0.055625963,0.030121085,0.038429929,0.040741408
PE(O-18:1/18:2),0.059465477,0.057350233,0.050998598,0.121428987,0.124489009,0.128527732,0.137873852,0.133302404,0.125815933,0.062704755,0.059836714,0.072072583
PE(O-18:1/18:1),0.092529891,0.093210681,0.078455306,0.187496307,0.175776927,0.174445932,0.055353941,0.088167845,0.053862455,0.080212197,0.082476845,0.096250326
PE(O-18:0/18:1),0.004754461,0.003509718,0.004011671,0.030308931,0.035781383,0.034342762,0.005709429,0.00404355,0.003993489,0.012008956,0.011299148,0.010886809
PE(16:1/20:5),0.008525197,0.008340123,0.008518316,0.005440756,0.007448077,0.005551185,0.003119326,0.002505466,0.002949071,0.007700753,0.004889624,0.006574391
PE(16:0/20:4),0.732975593,0.74505672,0.585440876,0.15410347,0.154395757,0.15191499,0.275501612,0.207827909,0.2505686,0.499509767,0.51479179,0.509477658
PE(18:1/18:2),0.112424415,0.114300121,0.095896514,0.165531329,0.166112651,0.169366464,0.556934232,0.389325397,0.52979189,0.127249936,0.187520858,0.14470864
PE(18:1/18:1),0.510226758,0.47679421,0.484712441,0.915471208,0.916713097,0.949176039,1.419414535,1.330309335,1.320751776,0.256374251,0.274613675,0.348828503
PE(18:0/18:1),0.643673415,0.591618391,0.605702675,0.60543923,0.909638322,0.761075278,0.021987132,0.269815888,0.456178496,0.631023849,0.647752705,0.727010524
PE(O-16:1/22:6),0.009394487,0.011902103,0.008334105,0.028482469,0.044971996,0.032040061,0.02852559,0.019633316,0.027540992,0.37393531,0.040078105,0.053450859
PE(O-16:1/22:5),0.597894908,0.040274337,0.521214608,0.581810813,0.613572457,0.568005872,0.044212589,0.444662269,0.450153354,0.506447005,0.48430733,0.554687646
PE(O-16:1/22:4),0.84658981,0.914701852,0.736722468,0.402292857,0.41915906,0.215225235,0.465933254,0.388664294,0.405505701,0.279970429,0.287243024,0.313529957
PE(O-18:0/20:4),0.002927682,0.00555546,0.003036881,0.000131885,0.000977584,0.018274477,0.01800818,0.011570182,0.001168743,0.001126519,0.001119427,0.001038012
PE(O-18:2/20:1),0.014813334,0.01585381,0.01170689,0.038922419,0.043583078,0.03426634,0.045006994,0.043411027,0.039670079,0.010560667,0.01074899,0.012136129
PE(O-18:1/20:1),0.036675574,0.029075892,0.032411588,0.036790247,0.038633559,0.035692835,0.013355178,0.035726964,0.014348293,0.018786054,0.01653523,0.016295661
PE(O-18:1/20:0),0.020468564,0.019504128,0.021423352,0.015870778,0.003261075,0.001936808,0.014634042,0.012900416,0.009218251,0.007026361,0.010079167,0.007531092
PE(16:0/22:6),0.113829134,0.112655895,0.110670499,0.179214445,0.040970068,0.16812554,0.108658283,0.105983759,0.100567435,0.432682151,0.424839879,0.441075137
PE(16:0/22:5),0.695526196,0.639047613,0.585530051,0.287256293,0.348674936,0.304969638,0.199320745,0.195760552,0.205102661,0.416496999,0.433598636,0.417520099
PE(16:0/22:5),0.700269272,0.657321179,0.591726428,0.346145517,0.33908084,0.311634111,0.200455361,0.198305036,0.188763997,0.420389689,0.433235899,0.431055091
PE(18:0/20:4),1.81119115,1.707845109,1.42835232,0.402650393,0.408145714,0.389916395,0.51171257,0.484915341,0.487502985,0.001295219,0.486921813,0.51078507
PE(18:0/20:3),0.000317873,0.000440107,0.000272775,0.065578372,0.049784187,0.076296375,0.127099351,0.105791574,0.129177741,0.033590228,0.037504694,0.059250015
PE(18:1/20:1),0.042540333,0.039869632,0.018906208,0.073404988,0.071322864,0.005306135,0.094152903,0.086387004,0.128234977,0.009877491,0.011039399,0.012871821
PE(O-18:2/22:6),0.104814045,0.113733038,0.114369111,0.345776959,0.497014216,0.020710846,0.641052493,0.41352107,0.629977,0.160833822,0.173646319,0.174758266
PE(18:1/20:0),0.025188602,0.021676393,0.024184709,0.021272983,0.024888903,0.02709607,0.016423366,0.014620362,0.007829091,0.015241415,0.015384385,0.015634292
PE(O-18:2/22:5),0.245974915,0.255037488,0.238259961,0.810404063,0.845725605,0.813922706,0.852549016,0.611666671,0.830580257,0.26937337,0.297429596,0.285669823
PE(O-18:2/22:4),0.661461704,0.706131233,0.621394008,0.324692099,0.242574903,0.353861613,0.007967716,0.323054678,0.322877463,0.12052351,0.116604185,0.134317814
PE(18:1/22:6),0.150118019,0.13071382,0.140935052,0.213679279,0.20921061,0.195083102,0.225898252,0.179809989,0.202130507,0.052482202,0.050324092,0.061955315
PE(18:1/22:5),0.243132676,0.216921922,0.159705576,0.442476292,0.448366201,0.426929342,0.361529955,0.329192995,0.344290701,0.384508211,0.369553408,0.428569054
PE(18:0/22:5),0.775643259,0.713042037,0.665467516,0.010376327,0.249421174,0.16781842,0.03133067,0.308543732,0.299619393,0.257329974,0.254275783,0.157975759
PE(18:0/22:4),0.942085286,0.824309856,0.170284087,0.055192666,0.071841752,0.114061962,0.079440005,0.10362418,0.112531755,0.043463571,0.049851832,0.063914988
PE(18:1/22:1),0.011184816,0.009145367,0.010285289,0.014931893,0.015232205,0.015041649,0.027967322,0.025473741,0.023271077,0.004432646,0.004789605,0.005576058
PE(18:1/22:0),0.007526405,0.008140307,0.006810661,0.007416715,0.007400996,0.006937316,0.006388719,0.009947419,0.006916914,0.004004276,0.004672044,0.005351307
PE(20:2/22:5),0.023246524,0.027720877,0.017871624,0.010869598,0.018153912,0.019679043,0.050532757,0.048950349,0.047611143,0.004179121,0.003981303,0.005330504
PE(20:2/22:4),0.026261597,0.025543623,0.023575193,0.013357953,0.014967386,0.014475771,0.046067459,0.045097938,0.044111955,0.006676842,0.006587011,0.008714711
PE(20:1/22:4),0.068356026,0.058343077,0.053718497,0.014808898,0.013247035,0.013260749,0.01528645,0.013055127,0.012808874,0.007452639,0.007616761,0.009036473
PE(42:4),0.026373275,0.021964481,0.021999104,0.006564431,0.005952387,0.007627371,0.020639152,0.017010704,0.017566734,0.006771158,0.005351072,0.007136338
PE(42:2),0.007734989,0.006325621,0.005449788,0.012146823,0.011297836,0.011834121,0.017565382,0.016639549,0.01565516,0.001855782,0.001652072,0.001872752
PE(20:0/22:1),0.008847909,0.006579183,0.008358805,0.015524352,0.016486577,0.014826058,0.012390336,0.011912027,0.012067495,0.004766544,0.003769635,0.004089354
PE(44:4),0.020887865,0.018889353,0.019464029,0.016480296,0.018560606,0.017350136,0.011760978,0.010401249,0.010185151,0.008481105,0.008054688,0.009360314
PE(46:6),0.009265261,0.009339262,0.009454614,0.02280039,0.024914321,0.023621506,0.022751937,0.021956886,0.021978182,0.004886741,0.00417312,0.001190126
PS(14:0/16:0),0.062915776,0.098921278,0.092544928,0.040748708,0.034225234,0.043550353,0.048201101,0.058534802,0.045555774,0.000914681,0.000776374,0.000542105
PS(O-32:1),0.003959252,0.004757922,0.004844428,0.003539454,0.004062153,0.00480756,0.005018891,0.005606456,0.005208715,0.003844834,0.003352668,0.002649294
