,Nuclei_Control,Nuclei_Control,Nuclei_Control,Nuclei_KLA,Nuclei_KLA,Nuclei_KLA,Mitochondria_Control,Mitochondria_Control,Mitochondria_Control,Mitochondria_KLA,Mitochondria_KLA,Mitochondria_KLA,ER_Control,ER_Control,ER_Control,ER_KLA,ER_KLA,ER_KLA,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_KLA,Plasmalemma_KLA,Plasmalemma_KLA,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_KLA,Dense Microsomes_KLA,Dense Microsomes_KLA,Cytosol_Control,Cytosol_Control,Cytosol_Control,Cytosol_KLA,Cytosol_KLA,Cytosol_KLA,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_KLA,Whole cell homogenate_KLA,Whole cell homogenate_KLA
,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42
GPCho(34:0),4.354927,8.0652,9.61712,15.392802,11.51041,22.930055,6.622632,7.548284,12.592882,8.512743,4.855325,4.051944,1.720876,1.869818,2.310503,3.582437,5.141693,4.914589,5.803496,5.961315,4.907706,9.219159,5.340338,2.884699,1.864452,6.033084,8.519314,8.912415,4.205125,34.101637,5.875767,7.262961,5.975694,8.69386,7.087284,6.104162,3.603588,5.272175,4.486355,5.884861,5.355778,4.974967
GPCho(36:4),2.10E+00,2.49E+00,3.90E+00,4.20E+00,4.33E+00,3.74E+00,1.79E+00,2.22E+00,2.30E+00,2.51E+00,2.36E+00,2.23E+00,1.50E-05,1.87E+00,2.22E+00,2.45E+00,2.54E+00,2.02E+00,2.02E+00,2.45E+00,2.37E+00,3.46E+00,2.41E+00,1.06E-05,2.96E+00,3.42E+00,3.41E+00,4.21E+00,3.13E+00,2.78E+00,3.76E-04,2.50E-04,4.83E+00,2.99E-04,4.87E+00,3.59E+00,2.37E+00,1.87E+00,1.60E+00,1.82E+00,1.63E+00,1.75E+00
GPCho(36:3),4.35E+00,4.69E+00,6.83E+00,5.46E+00,4.87E+00,5.44E+00,5.13E+00,5.66E+00,6.57E+00,3.41E+00,4.86E+00,4.58E+00,6.56E+00,5.22E+00,5.13E+00,3.58E+00,4.00E+00,3.88E+00,2.58E+00,3.68E+00,3.38E+00,2.69E+00,2.24E+00,1.06E-05,8.01E+00,9.00E+00,1.08E+01,7.35E+00,7.52E+00,6.64E+00,9.57E+00,1.04E+01,1.09E+01,9.78E+00,7.09E+00,7.54E+00,2.57E+00,3.40E+00,3.19E+00,2.03E+00,2.09E+00,2.18E+00
GPCho(36:2),31.53568,41.0592,51.57007,36.38299,36.56248,40.76454,35.71757,37.26965,45.44388,22.70065,31.55961,36.40877,13.65774,41.24599,42.00914,27.28164,34.27795,33.62614,23.64387,29.80658,27.077,18.43832,16.88236,15.962,63.61071,75.63867,75.89934,54.84563,57.26127,54.7421,68.32287,90.78702,76.05428,54.33662,57.58418,61.04162,40.15427,24.60349,21.93329,14.97965,14.52414,18.32883
GPCho(36:1),2.40E+01,3.52E+01,7.67E-05,7.70E-05,7.45E-05,4.67E-05,2.60E+01,3.21E+01,3.50E+01,3.17E+01,3.81E+01,3.05E+01,8.47E+00,2.17E+01,2.57E+01,3.03E+01,3.71E+01,2.85E+01,2.06E+01,2.28E+01,2.03E+01,3.07E+01,2.07E+01,1.56E+01,3.40E+01,4.50E+01,3.56E+01,5.19E+01,4.65E+01,3.59E+01,3.55E+01,4.31E+01,3.86E+01,5.43E+01,5.32E+01,4.67E+01,1.96E+01,2.11E+01,1.89E+01,2.14E+01,2.00E+01,1.92E+01
GPCho(36:0),3.75E+00,5.87E+00,1.16E+01,1.82E+01,1.49E+01,1.27E+01,3.27E+00,4.72E+00,5.04E+00,8.04E+00,6.24E+00,3.58E+00,1.50E-05,1.51E-05,9.34E-01,6.06E-01,2.40E+00,2.35E+00,2.36E+00,1.75E+00,6.77E-01,3.46E+00,6.03E-01,1.06E-05,1.65E+00,2.43E+00,4.26E-05,2.06E+00,6.17E-01,4.94E-05,3.76E-04,2.50E-04,1.03E+00,1.90E+00,1.20E+00,1.26E+00,5.66E-05,2.69E+00,2.79E+00,4.92E+00,4.36E+00,3.32E+00
GPCho(38:6),14.26614,20.5296,26.48193,26.58757,28.43748,28.87488,13.39409,16.98364,19.16308,15.6067,19.76811,19.37886,10.65304,13.74866,15.87012,14.32975,19.42417,18.88237,15.90588,19.28661,16.2462,16.32559,13.09244,12.69267,19.74126,24.31243,21.68553,23.50527,23.26239,24.23011,21.18009,29.50578,27.70549,30.42851,29.678,32.67522,11.32556,11.71595,11.96361,10.69975,11.80087,13.96482
GPCho(38:5),6.46E+00,9.53E+00,1.00E+01,1.26E+01,1.03E+01,1.02E+01,5.80E+00,7.55E+00,8.21E+00,7.57E+00,6.59E+00,5.58E+00,9.29E+00,4.67E+00,4.90E+00,1.52E-05,5.43E+00,5.43E+00,7.74E+00,7.01E+00,5.92E+00,9.99E+00,6.55E+00,5.19E+00,6.91E+00,8.28E+00,5.65E+00,6.95E+00,5.55E+00,5.56E+00,1.02E+01,9.53E+00,7.61E+00,9.78E+00,7.09E+00,8.26E+00,4.22E+00,5.51E+00,5.68E+00,5.67E+00,5.36E+00,5.94E+00
GPCho(38:4),4.66E+00,6.16E+00,7.81E+00,5.04E+00,3.39E+00,5.69E+00,5.43E+00,6.13E+00,7.12E+00,4.16E+00,4.86E+00,3.93E+00,8.47E+00,3.02E+00,3.97E+00,3.86E+00,3.14E+00,3.10E+00,3.22E+00,2.28E+00,1.10E+00,1.79E+00,9.47E-06,1.06E-05,6.36E+00,7.47E+00,6.43E+00,4.31E+00,3.58E+00,4.76E+00,6.22E+00,9.08E+00,6.52E+00,5.98E+00,6.20E+00,6.46E+00,2.37E+00,3.87E+00,3.29E+00,2.57E+00,2.18E+00,2.44E+00
GPCho(38:2),8.26E+00,1.09E+01,1.20E+01,9.52E+00,8.26E+00,9.34E+00,9.67E+00,9.91E+00,1.04E+01,6.62E+00,8.67E+00,7.63E+00,7.38E+00,6.32E+00,7.00E+00,5.24E+00,6.57E+00,6.73E+00,5.59E+00,4.21E+00,3.38E+00,3.65E+00,9.47E-06,1.06E-05,1.01E+01,1.35E+01,1.08E+01,9.30E+00,8.77E+00,9.87E+00,1.30E+01,1.41E+01,1.20E+01,1.14E+01,1.02E+01,1.15E+01,5.25E+00,6.09E+00,5.88E+00,4.17E+00,4.08E+00,4.89E+00
GPCho(38:1),6.307136,11.4379201,8.6414706,9.3756158,8.531245,6.4543859,2.6788176,5.6612126,5.3656626,7.566883,4.5085157,2.9361912,6.2825618,6.0494117,7.9350602,6.8893028,6.5699413,8.0185407,12.8966572,9.8186366,12.0154185,11.7160145,9.8193306,8.4617823,8.1158496,5.762946,7.4350373,7.9330283,7.157659,7.9869624,7.5155154,11.8023123,6.5189386,9.2372258,6.2013732,5.7450935,3.9124675,0.2928986,1.2960582,0.3851909,6.0819848,0.672057
